aX,aY,aZ,gX,gY,gZ
0.516,0.255,2.647,-68.298,217.712,9.155
1.044,0.001,2.357,-54.626,217.407,20.691
0.896,0.417,3.011,16.296,124.146,52.246
-0.194,0.396,3.242,50.476,-10.620,108.093
-0.822,0.117,2.665,-32.532,-36.011,124.634
-0.872,0.026,1.979,-112.244,6.042,84.534
-0.621,-0.065,1.396,-118.652,62.378,26.184
-0.258,-0.074,0.985,-92.590,90.271,-5.249
-0.080,-0.053,0.795,-67.871,67.078,-6.958
-0.088,-0.038,0.770,-47.791,16.663,1.526
-0.088,-0.021,0.789,-33.508,-24.414,7.935
-0.006,-0.025,0.780,-25.757,-44.739,8.789
0.109,0.003,0.786,-25.696,-49.438,5.676
0.203,0.019,0.791,-29.175,-43.213,2.625
0.261,0.041,0.776,-34.851,-30.579,-0.305
0.247,0.044,0.729,-40.466,-17.761,-2.869
0.248,0.064,0.687,-43.518,-8.728,-6.958
0.268,0.099,0.666,-43.335,-5.554,-12.878
0.291,0.130,0.657,-40.955,-7.202,-17.517
0.329,0.151,0.643,-38.208,-9.888,-19.775
0.333,0.202,0.640,-36.377,-13.428,-20.203
0.350,0.240,0.633,-33.081,-14.465,-21.179
0.382,0.271,0.646,-27.161,-13.062,-21.301
0.403,0.297,0.682,-20.691,-11.047,-19.958
0.448,0.316,0.724,-13.977,-7.141,-17.639
0.518,0.257,0.767,-7.690,-5.554,-16.663
0.468,0.352,0.853,-11.658,-27.771,-12.512
0.364,0.386,0.968,-17.456,-44.617,-3.723
0.329,0.383,0.992,-17.029,-43.213,-0.305
0.328,0.339,0.968,-15.259,-34.790,-1.587
0.301,0.319,0.929,-17.395,-31.494,-4.700
0.289,0.320,0.898,-20.142,-30.457,-8.728
0.306,0.325,0.868,-19.775,-28.870,-13.062
0.332,0.326,0.841,-16.846,-28.687,-15.808
0.356,0.333,0.829,-15.259,-31.616,-16.846
0.371,0.351,0.833,-14.587,-35.217,-16.235
0.373,0.363,0.848,-13.733,-35.645,-14.648
0.377,0.374,0.867,-12.695,-31.799,-12.939
0.380,0.376,0.881,-12.634,-25.085,-11.963
0.379,0.378,0.896,-13.062,-17.700,-11.414
0.375,0.371,0.899,-13.855,-11.536,-10.986
0.374,0.357,0.883,-15.503,-7.568,-10.742
0.373,0.346,0.860,-16.296,-5.066,-11.353
0.373,0.333,0.835,-15.503,-4.150,-12.573
0.387,0.320,0.815,-13.916,-4.517,-13.672
0.376,0.311,0.797,-12.573,-7.141,-14.343
0.364,0.301,0.779,-12.939,-10.620,-14.404
0.353,0.286,0.761,-12.939,-13.733,-14.221
0.341,0.274,0.752,-11.902,-16.174,-14.099
0.337,0.275,0.754,-9.888,-19.104,-14.465
0.342,0.282,0.760,-7.324,-22.400,-14.771
0.349,0.294,0.773,-4.822,-25.146,-14.038
0.348,0.305,0.779,-2.075,-26.428,-12.024
0.331,0.304,0.783,0.000,-27.039,-9.888
0.302,0.305,0.794,1.648,-28.076,-8.484
0.276,0.314,0.811,3.113,-28.870,-8.179
0.263,0.318,0.826,4.028,-29.358,-8.606
0.255,0.328,0.845,5.188,-29.053,-9.644
0.256,0.346,0.868,6.409,-28.198,-10.742
0.252,0.357,0.888,6.775,-26.733,-11.230
0.243,0.361,0.900,7.080,-24.292,-10.742
0.648,-1.272,1.888,419.800,20.935,-221.985
0.720,-1.170,2.666,417.480,1.831,-216.614
0.836,-0.900,3.453,382.751,-4.333,-214.417
1.011,-0.573,4.000,320.923,13.367,-216.248
1.234,-0.306,4.000,248.108,50.659,-222.290
1.527,-0.207,4.000,180.847,83.984,-227.173
1.644,0.045,4.000,126.038,82.336,-231.201
2.138,0.196,4.000,85.388,78.369,-222.717
2.188,0.466,4.000,40.100,23.437,-187.805
1.817,0.654,4.000,-14.404,-24.109,-149.109
1.724,0.834,4.000,-64.636,-10.376,-133.789
1.778,0.943,3.994,-112.671,36.804,-129.150
1.882,0.974,3.733,-161.316,87.524,-118.103
1.857,0.932,3.437,-207.947,124.390,-97.412
1.609,0.809,3.099,-251.221,142.395,-77.820
1.583,0.738,2.703,-286.804,160.522,-62.561
1.465,0.627,2.332,-315.125,164.001,-36.377
1.468,0.489,2.018,-337.952,164.307,-8.179
1.475,0.402,1.753,-354.431,153.503,18.066
1.394,0.320,1.519,-370.667,124.023,42.297
1.296,0.230,1.288,-387.695,93.445,63.171
1.184,0.100,1.005,-404.358,76.599,78.979
1.069,-0.069,0.675,-419.617,77.148,88.623
0.980,-0.245,0.311,-431.763,90.332,95.337
0.884,-0.401,-0.048,-438.538,104.614,102.539
0.724,-0.504,-0.373,-440.979,111.816,110.413
0.586,-0.577,-0.640,-436.218,111.267,118.652
0.406,-0.632,-0.856,-424.927,100.647,124.756
0.276,-0.686,-1.036,-413.818,85.815,128.662
0.206,-0.762,-1.212,-401.062,72.754,130.615
0.194,-0.910,-1.374,-384.644,63.354,131.897
0.126,-1.104,-1.610,-368.591,51.758,133.545
-0.017,-1.315,-1.932,-353.516,42.297,134.521
-0.169,-1.485,-2.436,-332.153,43.152,131.653
-0.242,-1.526,-3.075,-283.813,51.880,120.667
-0.282,-1.451,-3.582,-192.810,56.580,101.868
-0.302,-1.360,-3.768,-70.618,53.406,79.712
-0.290,-1.329,-3.575,57.068,54.504,58.899
-0.252,-1.416,-3.088,174.255,70.129,40.771
-0.214,-1.567,-2.509,265.747,99.182,22.400
-0.169,-1.734,-1.999,332.092,135.498,2.136
-0.095,-1.881,-1.589,380.127,168.640,-19.897
0.028,-2.003,-1.256,419.922,188.721,-42.236
0.206,-2.081,-0.962,455.383,192.383,-60.364
0.462,-2.173,-0.634,488.220,181.519,-70.374
0.725,-2.245,-0.187,519.775,163.513,-71.838
0.985,-2.257,0.355,543.701,148.804,-69.702
1.257,-2.179,0.959,553.345,136.292,-64.819
1.414,-2.012,1.589,555.725,116.333,-51.270
1.222,-1.762,2.166,551.147,87.158,-30.151
0.962,-1.476,2.532,531.006,62.927,-13.184
0.917,-1.260,2.801,500.488,49.500,-5.493
0.957,-1.031,3.271,466.248,35.278,-2.197
0.903,-0.784,3.871,419.739,14.099,4.883
0.815,-0.547,4.000,354.004,-1.282,13.977
