aX,aY,aZ,gX,gY,gZ
0.742,0.082,0.147,-15.320,-44.556,50.293
0.773,0.203,0.256,-2.686,-46.448,46.021
0.801,0.278,0.337,12.756,-44.434,39.368
0.824,0.318,0.390,27.588,-41.809,32.532
0.848,0.352,0.432,38.391,-39.001,26.672
0.867,0.379,0.470,42.847,-36.438,21.912
0.879,0.394,0.493,41.809,-33.936,18.066
0.873,0.378,0.500,35.706,-31.311,14.587
0.888,0.352,0.511,27.832,-26.123,9.766
0.929,0.306,0.515,21.118,-20.752,5.249
0.934,0.257,0.505,16.663,-15.991,2.869
0.930,0.199,0.489,14.038,-11.169,1.953
0.928,0.153,0.467,16.113,-6.592,0.732
0.922,0.124,0.438,20.752,-2.563,-1.587
0.908,0.118,0.405,25.391,2.258,-3.357
0.878,0.130,0.369,28.931,6.592,-5.371
0.874,0.109,0.317,31.860,8.484,-8.301
0.881,0.057,0.266,31.494,8.911,-10.376
0.894,0.011,0.232,26.611,6.592,-10.498
0.900,-0.000,0.226,18.860,1.648,-9.521
0.896,0.004,0.238,10.803,-4.089,-8.240
0.900,-0.003,0.261,5.554,-8.301,-6.470
0.910,-0.027,0.291,4.211,-10.925,-5.127
0.914,-0.038,0.312,4.944,-11.597,-4.333
0.908,-0.034,0.323,7.202,-10.559,-3.296
0.910,-0.035,0.317,10.620,-9.277,-1.709
0.930,-0.031,0.300,13.550,-9.155,0.000
0.929,-0.002,0.288,14.221,-10.010,1.648
0.914,0.035,0.271,13.611,-11.902,2.747
0.910,0.049,0.258,11.963,-14.832,2.258
0.913,0.044,0.261,9.277,-18.188,0.854
0.919,0.036,0.276,6.775,-22.034,-0.061
0.922,0.041,0.298,4.456,-25.635,0.244
0.924,0.048,0.321,2.502,-28.442,2.441
0.934,0.050,0.346,0.732,-30.640,5.371
0.943,0.067,0.376,-0.732,-32.043,8.057
0.951,0.091,0.398,-1.221,-32.227,10.071
0.958,0.094,0.415,-0.549,-31.433,10.986
0.964,0.090,0.431,1.892,-30.579,11.169
0.965,0.091,0.453,4.150,-29.663,11.230
0.959,0.105,0.473,7.019,-28.076,11.597
0.937,0.133,0.485,9.033,-26.550,11.780
0.918,0.164,0.500,9.827,-25.269,9.949
0.913,0.183,0.510,9.949,-22.888,6.897
0.924,0.173,0.517,8.972,-20.508,3.784
0.923,0.161,0.519,7.141,-18.799,1.831
0.915,0.148,0.513,5.249,-17.273,0.732
0.909,0.123,0.503,3.906,-16.479,0.061
0.909,0.089,0.497,3.174,-16.602,-0.732
0.917,0.053,0.491,2.869,-15.991,-1.038
0.922,0.021,0.485,3.723,-14.465,-0.488
0.913,-0.001,0.474,5.554,-11.414,0.366
0.898,-0.003,0.453,7.996,-8.728,1.892
